Episodes Completed,   Mean Total Reward,      Mean Moving Average
39500 	 0.000000 	 0.000000 
40000 	 0.000000 	 0.000000 
40500 	 0.000000 	 0.000000 
41000 	 0.000000 	 0.000000 
41500 	 0.000000 	 0.000000 
42000 	 0.000000 	 0.000000 
42500 	 0.000000 	 0.000000 
43000 	 0.000000 	 0.000000 
43500 	 0.000000 	 0.000000 
44000 	 0.000000 	 0.000000 
44500 	 0.000000 	 0.000000 
45000 	 0.000000 	 0.000000 
45500 	 0.000000 	 0.000000 
46000 	 0.000000 	 0.000000 
46500 	 0.000000 	 0.000000 
47000 	 0.000000 	 0.000000 
47500 	 0.000000 	 0.000000 
48000 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 0.000000 	 0.000000 
1000 	 0.000000 	 0.000000 
1500 	 0.000000 	 0.000000 
2000 	 0.000000 	 0.000000 
2500 	 0.000000 	 0.000000 
3000 	 0.000000 	 0.000000 
3500 	 0.000000 	 0.000000 
4000 	 0.000000 	 0.000000 
4500 	 0.000000 	 0.000000 
5000 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 0.000000 	 0.000000 
1000 	 0.000000 	 0.000000 
1500 	 0.040000 	 0.470000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 0.000000 	 0.000000 
1000 	 0.000000 	 0.000000 
1500 	 0.000000 	 0.000000 
2000 	 0.000000 	 0.000000 
2500 	 0.000000 	 0.000000 
3000 	 0.000000 	 0.000000 
3500 	 0.000000 	 0.000000 
4000 	 0.000000 	 0.000000 
4500 	 0.000000 	 0.000000 
5000 	 0.000000 	 0.000000 
5500 	 0.000000 	 0.000000 
6000 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 0.000000 	 0.000000 
1000 	 0.001000 	 0.010000 
1500 	 0.006667 	 0.080000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 0.000000 	 0.000000 
1000 	 0.100000 	 0.700000 
1500 	 0.596667 	 2.800000 
2000 	 0.957500 	 2.300000 
2500 	 1.288000 	 2.050000 
3000 	 1.813333 	 4.700000 
3500 	 2.204286 	 4.350000 
4000 	 2.498750 	 4.700000 
4500 	 2.713333 	 4.450000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 -0.049500 	 -0.015000 
1000 	 -0.029750 	 -0.005000 
1500 	 -0.020500 	 -0.002500 
2000 	 -0.015625 	 -0.002500 
2500 	 -0.012600 	 0.000000 
3000 	 -0.010500 	 0.000000 
3500 	 -0.009071 	 0.000000 
4000 	 -0.008000 	 0.000000 
4500 	 -0.007222 	 0.000000 
5000 	 -0.006550 	 -0.002500 
5500 	 -0.006045 	 0.000000 
6000 	 -0.005583 	 0.000000 
6500 	 -0.005154 	 0.000000 
7000 	 -0.004786 	 0.000000 
7500 	 -0.004600 	 0.000000 
8000 	 -0.004313 	 0.000000 
8500 	 -0.004088 	 0.000000 
9000 	 -0.003889 	 0.000000 
9500 	 -0.003737 	 -0.002500 
10000 	 -0.003550 	 0.000000 
10500 	 -0.003452 	 0.000000 
11000 	 -0.003341 	 -0.002500 
11500 	 -0.003196 	 0.000000 
12000 	 -0.003104 	 -0.002500 
12500 	 -0.003020 	 0.000000 
13000 	 -0.002904 	 0.000000 
13500 	 -0.002796 	 0.000000 
14000 	 -0.002696 	 0.000000 
14500 	 -0.002603 	 0.000000 
15000 	 -0.002533 	 -0.002500 
15500 	 -0.002452 	 0.000000 
16000 	 -0.002375 	 0.000000 
16500 	 -0.002318 	 0.000000 
17000 	 -0.002265 	 0.000000 
17500 	 -0.002214 	 0.000000 
18000 	 -0.002153 	 0.000000 
18500 	 -0.002095 	 0.000000 
19000 	 -0.002053 	 0.000000 
19500 	 -0.002000 	 0.000000 
20000 	 -0.001950 	 0.000000 
20500 	 -0.001939 	 -0.002500 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 -0.051000 	 -0.020000 
Episodes Completed,   Mean Total Reward,      Mean Moving Average
0 	 0.000000 	 0.000000 
500 	 -0.044000 	 -0.015000 
1000 	 -0.025500 	 -0.002500 
1500 	 -0.017000 	 0.000000 
2000 	 -0.012875 	 0.000000 
2500 	 -0.010300 	 0.000000 
